"","Eagle Sign Company"
"","CLOSED WORK ORDERS 01/01/08 - 12/31/08"

"Work Order","Quote/Part/Description","Qty Mfg","Qty Comp","Act Material","Act Labor","Act Burden","Act CNCRT","Act OUT1","Act ","Act UTax","Act Total","Est Material","Est Labor","Est Burden","Est CNCRT","Est OUT1","Est ","Est UTax","Est Total","Var Cost","Act Billing","Act GM %","Est Billing","Est GM %","Close Date","Cust No","Customer Name","C/F","STD Comp $","Est COGS","Net WIP","Invoice Date","Invoice Nbr","Est Hrs","Act Hrs"
"""1322.8""","""@INSTLL / GANDER MOUNTAIN #179""","1","1","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","666.00","100.00","666.00","100.00","01/19/08","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","01/19/08","1322","0.000",""
"""1322.9""","""@SERVICE / GANDER MOUNTAIN #17""","1","1","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","1521.00","100.00","1521.00","100.00","01/19/08","2196","GANDER MOUNTAIN COMPANY","F","0.00","0.00","0.00","01/19/08","1322","0.000",""
"""1337.1""","""@ENGINEERING / RUAN""","1","1","14.72","55.56","60.29","","7501.00","","0.00","7631.57","0.00","0.00","0.00","","","","0.00","0.00","7631.57","512.40","-1389.38","512.40","100.00","03/17/08","2277","RUAN","F","0.00","0.00","0.00","03/10/08","1337","0.000","3.250"
"""1337.2""","""@PERMIT / RUAN""","1","1","0.00","0.00","0.00","","3942.60","","0.00","3942.60","0.00","0.00","0.00","","","","0.00","0.00","3942.60","1444.00","-173.03","1444.00","100.00","03/17/08","2277","RUAN","F","0.00","0.00","0.00","03/10/08","1337","0.000",""
"""1337.3""","""@2082 / RUAN""","1","1","4026.79","991.59","895.87","","","","0.00","5914.25","3764.18","3486.00","0.00","","11043.00","","0.00","18293.18","-12378.93","25866.22","77.14","25866.22","29.28","03/17/08","2277","RUAN","F","0.00","0.00","0.00","03/10/08","1337","83.000","69.750"
"""1338.1""","""@plex / NAGLE SIGNS, INC.""","6","0","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","","","316.80","100.00","02/29/08","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","","","0.000",""
"""1339.1""","""@extrusion / NAGLE SIGNS, INC.""","1","0","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","","","2175.00","100.00","02/29/08","77950","NAGLE SIGNS, INC.","F","0.00","0.00","0.00","","","0.000",""
"""1341.1""","""@2168 / CHARLEYÇS GRILLED SUBS""","1","1","1226.37","525.72","473.20","","207.88","","0.00","2433.17","0.00","0.00","0.00","","","","0.00","0.00","2433.17","3120.00","22.01","3120.00","100.00","04/16/08","21100","CHARLEY'S GRILLED SUBS","F","0.00","0.00","0.00","04/09/08","1341","0.000","40.750"
"""1341.2""","""@2169 / CHARLEYÇS GRILLED SUBS""","1","1","0.00","22.35","20.12","","","","0.00","42.47","0.00","0.00","0.00","","","","0.00","0.00","42.47","100.00","57.53","100.00","100.00","04/16/08","21100","CHARLEY'S GRILLED SUBS","F","0.00","0.00","0.00","04/09/08","1341","0.000","1.500"
"""1341.3""","""@2170 / CHARLEYÇS GRILLED SUBS""","1","1","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","249.00","100.00","249.00","100.00","04/16/08","21100","CHARLEY'S GRILLED SUBS","F","0.00","0.00","0.00","04/09/08","1341","0.000",""
