wo_number,customer_id,customer_name,location,total_material_cost,total_labor_cost,total_burden_cost,total_outplant_cost,total_use_tax,total_cost,quoted_price,sale_price,billing,gross_margin,gm_pct,sales_code,use_tax_code,estimator,quote_nbr,date_completed,status,sign_type,price_class_code,description,part_number,source_tier,source_file
10056.1,5745,RUETER'S EQUIPMENT,"ELKHART, IA",867.32,0.0,0.0,0.0,0.0,867.32,1723.02,,1723.02,855.7,49.66,REPFCE,IA77O7,Adam Fasselius,31038,2021-01-31,Fin Closed,FFACE,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10057.1,77950,"NAGLE SIGNS, INC.","MARSHALLTOWN, IA",3.09,65.63,120.95,0.0,0.0,189.67,,,214.64,24.97,11.63,MISC,RESALE,,,2021-01-14,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10058.1,5680,SIGN MANAGER,"ANKENY, IA",29.85,63.13,84.87,0.0,0.0,177.85,,,353.49,175.64,49.69,MISC,IA77OP,,,2021-01-25,Fin Closed,,TM - Time & Materials,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10059.1,3683,ALLEN INDUSTRIES,"MANSON, IA",0.0,86.63,159.11,0.0,0.0,245.74,600.0,,600.0,354.26,59.04,SURVEY,RESALE,Adam Fasselius,31045,2021-01-18,Fin Closed,BLDILL,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10060.1,3582,EVERBRITE LLC,"BOONE, IA",0.0,0.0,0.0,0.0,0.0,0.0,68.36,,68.36,68.36,100.0,CHANNL,RESALE,Adam Fasselius,31068,2021-01-12,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10061.1,5773,BATTLE HAWK ARMORY,"GRIMES, IA",311.59,120.56,182.11,0.0,0.0,614.26,824.74,,824.74,210.48,25.52,BLDG,IA77O7,Adam Fasselius,30862,2021-01-26,Fin Closed,OTHER,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10061.2,5773,BATTLE HAWK ARMORY,"GRIMES, IA",0.0,21.0,19.53,0.0,0.0,40.53,135.0,,,,,PRMT,IA77O7,Adam Fasselius,30864,2021-01-26,Fin Closed,OTHER,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10062.1,18600,CAT SCALE,"WILDWOOD, FL",964.35,146.0,135.79,0.0,0.0,1246.14,3487.0,,3487.0,2240.86,64.26,REPFCE,IC,,31100,2021-01-31,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10063.1,3951,"ALLEN INDUSTRIES , INC","HARCOURT, IA",0.0,69.38,129.05,0.0,0.0,198.43,400.0,,400.0,201.57,50.39,MISC,RESALE,Adam Fasselius,31096,2021-01-25,Fin Closed,OTHER,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10064.1,18600,CAT SCALE,"WALCOTT, IA",866.16,584.13,543.25,125.79,0.0,2119.33,201.0,,4020.0,1900.67,47.28,PYLON,IA82,,31114,2021-02-03,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10065.1,18600,CAT SCALE,"SULLIVAN, MO",5889.45,48.76,45.36,900.0,0.0,6883.57,9322.0,,9322.0,2438.43,26.16,PYLON,MOWASH,,31116,2021-01-27,Fin Closed,POLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10066.1,5366,MIDWEST MATTRESS,"URBANDALE, IA",818.31,178.13,331.32,0.0,0.0,1327.76,2485.45,,2485.45,1157.69,46.58,CHANNL,IA77O7,Adam Fasselius,31115,2021-01-31,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10067.1,2460,DOWNING INC.,"GRIMES, IA",2325.0,371.51,597.71,0.0,162.75,3456.97,7148.0,,7148.0,3691.03,51.64,CHANNL,NEWCIA,Adam Fasselius,30272,2021-05-12,Fin Closed,CLLIT,,,,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
